date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2025-01-27,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,69,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-01-28,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,65,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-01-29,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-01-30,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,60,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-01-31,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,58,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-01,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-02,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,69,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-03,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,70,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-04,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,39,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-05,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,30,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-06,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,28,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-07,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,38,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-08,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,43,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-09,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,52,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-10,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,59,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-11,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,23,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
